bank,date,full_P,P_without,decisiveness_gain,family,ambiguity_sentence
Fed,20250129,0.494,0.256,0.238,"condition_inflation, condition_labour_growth, mixed_two_sided_risk","So, as, as I mentioned, the economy's strong, the labor market's solid, downside risks to the labor market appear to have abated, and we think disinflation cont"
ECB,20220721,0.498,0.291,0.206,"condition_inflation, policy_action","And moving out of negative interest rates, by all accounts, certainly to me, is going to facilitate a number of things that we can explain to European citizens "
BoE,202205,0.494,0.302,0.192,"condition_inflation, policy_action, hedging","I mean, I would note, that as you can see in the monetary policy report, that the profile that we published for constant interest rates, on the previous setting"
Fed,20190918,0.495,0.305,0.189,"condition_labour_growth, policy_action, hedging",And we think our policy tools support economic activity through fairly well-understood channels: by reducing interest burden and encouraging consumer purchase o
Fed,20240131,0.498,0.312,0.186,"condition_inflation, condition_labour_growth, conditionality_guidance","You know, it's-again, we've had inflation come down without a slow economy and without, you know, important increases in, in unemployment, and there's no reason"
BoE,202011,0.501,0.331,0.167,"condition_inflation, condition_labour_growth","It is related, as I said in my introductory remarks, to the inflation target and, of course, to the secondary in a sense objective that we have that subject to "
ECB,20210722,0.508,0.328,0.164,policy_action,"We did not discuss any relation between APP and interest rates, and we really focussed our exercise on the work on our revisiting and revising the forward guida"
ECB,20190124,0.493,0.333,0.161,policy_action,"In other words, we don't want to be again in the situation where we were in 2012, '13 and '14 where we lowered interest, policy interest rates, and this was not"
Fed,20240320,0.498,0.339,0.159,"policy_action, hedging","I mean, my instinct would be that rates will not go back down to the very low levels that we saw, where, all around the world, there were long- run [real intere"
BoE,202311,0.504,0.347,0.149,"condition_inflation, policy_action","It's really deliberate to just make the points that although, encouragingly inflation is coming down and we expect it to come down further, there is still a ver"
BoE,201808,0.504,0.355,0.141,"condition_inflation, policy_action, hedging",The view of the committee in May and June was still that limited and gradual rate increases would be required to return inflation to target.
BoE,201705,0.498,0.36,0.137,"condition_inflation, condition_labour_growth, policy_action","I think it's important to put this in context, and the context is that the economy is still growing solidly, the economy is still creating jobs, wages are still"
Fed,20190918,0.495,0.359,0.135,policy_action,"And so, to some extent, I do believe that our shifting to a more accommodative stance over the course of the year has been one of the reasons why the outlook ha"
Fed,20150318,0.493,0.374,0.118,condition_inflation,"The strength of the dollar is also one factor that, as I noted, is holding down import prices and, at least on a transitory basis at this point, pushing inflati"
ECB,20170608,0.5,0.39,0.11,"condition_inflation, policy_action, conditionality_guidance","Of course, there are people who - one or two Council members observed that we have to think in perspective to the link between the asset purchase programme and "
ECB,20200312,0.494,0.386,0.108,"hedging, conditionality_guidance","On the other point, I think I have dealt extensively with these issuer limits, and all I have to say at this moment, again, is that we will use all flexibilitie"
Fed,20230201,0.495,0.393,0.102,condition_inflation,"I think, you know, the markets have decided, and the public has decided, that inflation is going to come back down to 2 percent and it's just a matter of us fol"
