doc_id,date,doc_type,speaker,speaker_role,turn_idx,turn_type,chunk_id,chunk_uid,start_sent_idx,end_sent_idx,n_sentences,text
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,3,answer,0,BoE_201502_transcript_0,0,3,4,"Well, as you know, Jennifer, we don't do real time updating of our inflation forecast. The next one's due in the middle of May, I think. Yeah, we get three months to think about these questions, as Ben says. Look, I think what is safest to say is that, using the curves that we had at the time when we conducted the forecast, which is the time at which we took our policy decision, last week, that you did have that slight overshoot."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,1,BoE_201502_transcript_1,0,8,8,"Look - markets will - I think - let me go back to something I said at my opening remarks, which is that what markets have been doing since our last forecast in November is they adjusted their expectations around the pace and degree of rate increases, in an environment of some additional external headwinds particularly to growth. And I would suggest that they did that because the market understands in general what the MPC is trying to do. What we have with today's Report and accompanying letter is as much clarity as we can give about what our objective is. So we're being very clear that we think that we should be returning inflation - given the nature of the shocks that have hit the economy, and given that most of the shocks that have affected inflation have been one-off price level shocks - these big commodity price shocks, we've been clear that we're going to look through those. And given the absence of a trade-off between output or employment and inflation, the absence of that trade-off, that we should return inflation to target as quickly as possible. And our judgement is, given all that, within the next two years. The market can take that information, can take other developments, and make its own judgement about the exact pace of those. And we won't provide a real time running commentary on that, except I just - I think I should underscore the point that what is consistent with our objective, our stated objective of returning inflation within the next two years, it is - it does require some limited and gradual increases in interest rates over the forecast horizon."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,7,answer,2,BoE_201502_transcript_2,0,3,4,"Well, I think it's pretty clear, in terms of our central expectation, that the most likely next move in monetary policy is an increase in interest rates. As we've been saying for some time, we expect those adjustments to be limited and at a gradual pace, but the message is clear: in order to achieve our objective, we're going to look through this one- time adjustment - which in the end is good news, by and large, for British households, recognising there are some distributional impacts across the United Kingdom, but it's good news for British households. And we're going to look through that and ensure that inflation comes back to target in a timely fashion. But that is consistent with some rate increases over the forecast horizon, in our judgement."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,9,answer,3,BoE_201502_transcript_3,0,4,3,"Well, speaking from an inflation perspective, one of the drags on inflation at present has been the impact of past depreciation of sterling, not just against the Euro but against a host of other currencies - Yen and others - particularly emerging market currencies. It's not the most important factor, but it's also helping dampen inflation right now. But, as I said before, our judgement is that, given all those factors, given the shocks that have hit the UK at present, we can chart a course which delivers inflation back to target within an appropriate horizon."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,4,BoE_201502_transcript_4,1,8,6,"Well, it's an important question, and we would distinguish what's happening at present and what's likely to happen over the course of the year from a - as you say - a bad deflation outcome. This is - we've had a dramatic change in a series of commodity prices, most notable oil - the biggest move - the third biggest move in the last half-century. That is different than persistent and widespread falls in prices. So one of the things that we look at, and will continue to look at, is all the components of the CPI - which of them are falling? And in the letter, actually, we draw attention to this. It's - I think the figure precisely is about 68% of the components are rising - the components of CPI are rising."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,5,BoE_201502_transcript_5,0,14,12,"But they are rising, because obviously oil and food are rising - I'm giving you the components that are actually increasing within the CPI. So in other words, we're seeing more concentrated falls in prices. So there's nothing particularly unusual about the breadth of the change in prices. So the first element of your question is - what are we going to look at? Well, we'll continue to look at the breadth of changes in prices; look at the persistence there, but obviously monitor inflation expectations very closely. And we do; as detailed in the Report, inflation expectations are consistent with the 2% target. We list all the ones that we look at - more than half are in line with historic averages, but again, we will watch that - watch that closely. We'll also watch developments on the wage front as well, to the extent that wage patterns start to be affected. I think the important point, which is entirely from a contingency or risk management perspective, is to underscore that, if we were in a situation (which we are not in at the moment), but if we ever were in a situation where we needed to provide additional stimulus, we have many options - we have many options to provide that stimulus, and the effectiveness of the stimulus is reinforced by the relative health of the financial system as well. But just to bring it back to where we are today, we see these one-off changes in prices. Helps support real incomes - we expect the strongest real income growth in over a decade actually. And as a consequence of that and other factors, our view is that the most likely moves on monetary policy are rate increases."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,15,answer,6,BoE_201502_transcript_6,0,10,9,"The issues in that speech - the true answer is yes - and the issues in that speech around - let me generalise it first and I'll get to the specifics, which is the importance of building greater private and public risk sharing in the eurozone. So banking union, capital markets union, absolutely essential, but also some element of public risk sharing related to fiscal arrangements, just as we have here in the United Kingdom - as virtually any currency union has. Those issues were publicly aired in the report of the four presidents a few years ago. And I have had discussions with my counterparts both prior to the speech and subsequent to the speech, both in central banks and ministries, on these issues. These are medium term issues; they're not conjunctural issues - it's not about short-term stance of policy, but it's about structuring a viable currency union. I mean, I will say - and if I can bring this back to - and I would say there's a much more general recognition of these issues than one might expect. Again, speaking from a structural perspective, one of the reasons why the fall in oil prices is unambiguously good for the UK economy, even though there are distributional consequences - there's impacts in Aberdeen, there's impacts in a series of businesses that support the energy sector - is because we have longer- term fiscal arrangements. And those structural fiscal arrangements have the impact - and it's referenced in the Dublin speech - that the impact on fiscal capacity in Scotland, for example, is only one tenth of what it would have been in their absence. And that's one way that the benefits of lower oil are recycled through this economy, which helps smooth the adjustment."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,16,answer,7,BoE_201502_transcript_7,1,2,2,"No, I mean, I think it's an issue in terms of understanding the economics of the issue. The question is the timeline and the mechanics of addressing it."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,18,answer,8,BoE_201502_transcript_8,0,11,9,"Let me say a couple of words, then I'm going to pass to Ben to give his perspective on it. I think the thing that we have seen in recent months is the start of the turn of wages, and consistent with the change in slack in the labour market. Now I wouldn't over-play that; it's still relatively early days, and actually I might take an opportunity just to point out that we think there are going to be some base effects that impact the average weekly earnings numbers in the course of the next couple of months. So we may see sequentially a little slowing in that, but on an annual basis we still see - we still expect to see a pick-up. The second is that what's important is that it's recognised that we will fulfil our responsibilities, by which I mean we're going to have a period where headline inflation is low - very low - for most of this year, and that's a good thing in general because of the causes of it. It's not a good thing if it persists, though, because a little bit of inflation greases the wheels of the economy, as you know. And so the recognition that we're going to be responsible in the calibration of policy, so that inflation comes back to target. But that feeds into expectations of employers and of workers in setting wages and in planning investments. But I might ask Ben to say a bit broader about how we construct risks and how we think about this."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,21,answer,9,BoE_201502_transcript_9,0,5,6,"Well I can take that, I have absolutely no reason to have those worries. There's been adjustments - there's always adjustments in markets in terms of expectations of stance of policy. And one of the things, as you know, Chris, is that our future, our forward OIS curve, is quite flat and so relatively modest moves can translate into relatively large moves in calendar space. So you can move easily from the fall of 2016 to the spring of 2016 with relatively small moves. But look, no, we have - you know you have the joy of being locked up here when we release various documents. We have very robust security procedures and I have absolutely no reason to credit that concern."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,23,answer,10,BoE_201502_transcript_10,0,10,8,"Well I think - this is a risk we're looking to guard against. And I think I would say that this is a strength of this system is that, given how low inflation, is there's a need to write a letter to explain why that's there and what we're going to do about it, and provide as much clarity as possible. And you know - and I think the message is we're quite comfortable in giving message of our ability to bring inflation back to target in a timely fashion. In terms of the dynamics of the labour market, it continues to tighten broadly as we had expected, so slack has - our estimate of slack has come down to the region of a half a percent. We are seeing, as I referenced earlier, and we reference in the Report, tangible increases in wages. The survey measures support that as well; our agent discussions support that as well. And by having an opportunity to make clear that there is a good element to these falls in prices, the falls in commodity prices, and that that will reinforce, in our expectation, consumer spending. So we're not making an appeal to companies in order to do something, we're just observing what we expect is most likely to happen."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,27,answer,11,BoE_201502_transcript_11,0,5,6,"Yeah, well - I'll invite Ben to amplify, but I think we're quite comfortable with the central expectation of that forecast given the tightening in the labour market. As you know, the dynamics of consumer spending are reinforced obviously by the improvement in real incomes that comes from the changes - the temporary changes in prices. And that we are conscious of the risk that there could be persistence in lower wages, you know, just this long period of relatively weak earnings growth could have an element of persistence which could delay this adjustment, and that's one of the downside risks. And to be clear again, to map the risks, and then I will ask Ben to amplify. In our famous Fan Chart of the inflation forecast we do have a slight skew in the next year - downside skew in the next year - just because of the possibility that there could be a little more persistence once prices are low, that it could just extend for a little longer. But we think that comes away within the two-year horizon."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,30,answer,12,BoE_201502_transcript_12,0,9,10,"Well, I think I would speak more broadly for the Bank, including the FPC, that we continue to monitor quite closely developments in household balance sheets. And we view, you know, when we viewed the risks around the housing market it was through the lens of household balance sheets in the medium term as being the biggest medium-term risk to the UK economy, and that remains the case. I would observe though that there has been improvement in household balance sheets. British households have paid down about 20 percentage points of debt to income. That ratio is still above its longer-term average, but it has been coming down. The savings - because of the growth in wages, the combination of growth in wages and lower inflation in the near term, actually, even though we have a fairly robust outlook for consumption, the savings rate holds up in this forecast. So this is not a debt-fuelled expansion in our forecast; it is something we watch. I'd make a last point which is a general one, which is that the UK as a whole, while it was quite over-levered obviously into the crisis, the UK as a whole - the private non-financial sector, so households and corporates have actually been one of the only sectors that have - internationally - that have de- levered and the combination of the two has been in the order of 30 percentage points of GDP. So there's been a fairly notable deleveraging; so there's progress there. But the motivation for your question is still spot on; we do see these issues across the Bank as the most important over the medium term."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,32,answer,13,BoE_201502_transcript_13,0,9,9,"The first thing is that yeah, there's a large move relative to November. Four fifths of that move, relative to November, is accounting for the fall in the oil price between when we did the November Report and when we did this Report. I'll just remind - I think you know this, Louise, but this Report gets locked down when we make the decision, which was last week, and oil prices at the time of that decision. So from a spot perspective - and we use spot oil and then we use the futures curve, because it's a neutral assumption. It's not a fantastic predictor of future oil prices; the spot is arguably the best, but we're not going to get into the business of forecasting the oil price. That futures curve, for what it's worth, and it's going to keep moving around I'm sure, but that futures curve since last week and today has moved up fairly substantially. And so if we were to use today's futures curve as opposed to then, you would see that Fan coming up. We did the rule - you know gave some sensitivities in terms of the impact of change in the oil price on UK growth, so that people can do their own analysis around it and the immediate pass-through to inflation because oil is going to move around. And because oil is going to move around, I think it just reinforces the point - if I can make a policy point - it reinforces the point that we're not going to swing around monetary policy to try to chase oil, not just because it's volatile, but also because the lags on monetary policy are such that it would not have the effect that we intended."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,34,answer,14,BoE_201502_transcript_14,0,4,4,"Well I think the - I wouldn't put it in the - in terms of the actual inflation outcome, it will be affected by big swings in crude prices. You know, if we have another 50% swing in crude prices, yeah, that will have a notable impact on the inflation forecast. The issue, the fundamental issue in terms of the functioning of the economy is - does that generalise, does that pass through to broader prices? And again, I'm slightly repeating myself, but the advantage of the system that is here is that we have opportunities, not just through the Inflation Report, but also through the letter writing process, to explain why inflation has moved, what we're going to do about it, and over what time horizon, so that people's expectations can be informed by that."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,36,answer,15,BoE_201502_transcript_15,1,8,8,"I think the different countries, different jurisdictions, have different financial systems, different arrangements and therefore will have different concepts of the lower bound. And I'm going to ask Minouche to add to this. The relevant factors in the UK and the sort of limiting factor in the UK had been previously the relative strength of the banking system and the building societies, the capital position of those. And given the asset liability mix of those institutions, what impact would an even lower Bank Rate than 50 basis points have on their ability to rebuild capital? Now as you know, we've made a lot of progress, and those institutions have made a lot of progress in rebuilding capital. So because we had to write the letter, because we had to explain all the contingencies and the various risks in the context of the letter, and because just naturally we continually update our thinking on what we could do if we have to ease, whether it's on the asset purchase side, or with respect to Bank Rate, we provided an updated view on that. I'm going to ask Minouche to say a word on market functioning, but I will say just a general point which is, there is still a lower bound in these other jurisdictions; it's a question of exactly where it is, and they're taking an assessment. At some point holding cash makes sense relative to using the system, but I don't know if you want to talk about …"
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,39,answer,16,BoE_201502_transcript_16,0,5,5,"Well I think, and all colleagues would agree, that our credibility is essential to consistently meet monetary policy goals. And the way we can most effectively reinforce that credibility - and it's a constant task to continue to reinforce and add to that credibility - the way we can best do that is to be clear about exactly what we're trying to accomplish. It's not just the 2% inflation target but it's over what horizon, given the shocks that are hitting the economy, and how we're going to go about achieving that. And then, amongst many other things, providing as transparent and complete analysis as possible and finally answering questions around that, both from you, from market participants, from businesses and from households, to explain that. And the last element which I would add is something that we've been trying to do at the Bank, and this is based on recommendations of Stockton and others, but is to go back and assess where our forecasts have turned out to be wrong or not consistent with what actually transpired, why that was the case, why those errors were there, and if there are any broader lessons to be learnt from that."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,42,answer,17,BoE_201502_transcript_17,0,9,9,"Right, start with the general concerns about the balance of the recovery. It is not having an impact at this stage on the stance of monetary policy. There is - our consumption forecast is obviously supported, as I've said, both by our outlook for wages but also the dividend, if you will, in the short term from lower energy prices. In terms of the investment forecast, I'll make a specific point and then general. Near term investment, most of the adjustment to near term investment is because of lower expected investment in the North Sea, so it's notable and you picked it up. And it's not an adjustment because of change in broad investment intentions, which gets to the last bit of your question which is around uncertainty, whether it's geopolitical, European or domestic. We, like our agents, our discussions are picking up elements of domestic uncertainty, as are the CBI surveys, as are the British Chamber of Commerce surveys as well. What we haven't seen is that yet being translated into changes in investment plans, and we certainly haven't seen it affecting actual investment in real time. So the forward investment intentions are at this stage holding out even though there has been a pickup in observation about uncertainty in general, including domestic elements of it."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,44,answer,18,BoE_201502_transcript_18,0,9,10,"Yeah, if only the future curve were that good a predictor. But let me take your hypothetical up a level, if I may, which is that if we could foresee some sort of persistent disinflationary or deflationary force that we had quite a high probability that that was going to keep us off target, all other things being equal, and that that were going to persist you know beyond the usual horizon of two years, three years and beyond. And an example of that might have been the impact of, you know, Chinese - I'll simplify it to Chinese manufacturing at the turn of the millennium - one could have foreseen that. Given our remit, given our mandate, should we lean against that in order to achieve the inflation target? Yes is the short answer, given that we have operational independence, a clear remit, we would have to explain why we're doing that and make it transparent. In a world where that is a positive supply shock, it's good disinflation. One might want to have a conversation about whether or not that should be kept. Now I'm getting into the hypothetical of the hypothetical, so I should probably just stop. But it's going to be a pretty unique circumstance where one can have a central bank or even The Economist can have the confidence that there is this force that has that impact and it's likely to persist as opposed to being just a shock, so it's enduring. But again, to repeat myself, the short answer, given the remit, is if we knew it and we could lean against it, we would."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,46,answer,19,BoE_201502_transcript_19,0,7,7,"Well the expansion in the US, say generally, the expansion in the US is more developed; it's been going on longer than it has been in the UK. The US had a sharp fall in participation; it's now starting to come back, whereas we've had the opposite. We've had - I think we'd characterise it as a positive labour supply shock; there's been more workers coming into the market, and that's had implications for the path of wages here. In terms of the inflation dynamics, we have - as a consequence of the differences in the labour market, there have been some distinctions in - there are differences, I mean there are basically differences in the net inflation dynamics. I know you're not suggesting this but just to avoid any doubt, we're not in a situation where we're so tightly bound to the US economy, or we would take so much information from what happens in the US economy, that monetary policy in the UK would move either in lock step or follow closely behind that in the US. And I don't think - make a market comment - I don't think that there's confusion about that in the market. I think we've seen our curve move by and large - by and large - consistent with the forces that are operating here."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,48,answer,20,BoE_201502_transcript_20,0,7,8,"Well, let me say one general - let me make a general point and then I'll ask Ben to speak about the specifics of it. Which is that one of the things that the MPC has been discussing has been how to update our thinking around potential growth, components on the labour side or with respect to productivity. And of course we get information about both of those on a daily basis and there's a temptation to make adjustments in every report. I think what we're minded to do - and we'll probably start doing this in May - is to set out episodically or periodically update on it, not episodically, periodically update our views - so in terms of the so-called equilibrium variables. I'm sorry this is a tacky answer, you don't want that, but Ben will give you a real answer. So whether it's around participation rate - your question, or around the natural rate of unemployment or the amount of average hours reported. And so we take stock and we're clear and then we hold those for a while. What we've been seeing is that actual participation has come out lower, first than we would have necessarily expected, but a gap has opened up between what we think is a sort of equilibrium level of participation and what we're actually observing."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,51,answer,21,BoE_201502_transcript_21,0,7,7,"Well you're right; the current account deficit is let's say at a record level. I mean it's been bouncing around a bit, but at 6% of GDP it's at a record level. I think the first thing is to look at why has it deteriorated, why has it shifted. And the answer is not in the trade balance, it's not actually in the relative performance of exports and imports - both have been growing less rapidly than expected, but in terms of balance it hasn't moved so much. The big news has been in the swing in our net investment income, and quite a substantial swing. And it counts for the lion's share of the shift in the current account. Well you'd look at the big areas where British investments are."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,51,answer,22,BoE_201502_transcript_22,8,16,8,"Top of the list is in the euro area, so much lower returns on - and these are real investments, so lower returns on real investment in Europe. And that could persist for some time, so this issue could persist for some time. When you run a current account deficit, you're relying on foreign inflows of capital. So it matters how you finance it in terms of the sustainability, and that depends on the relative attractiveness of a country, as ultimately it depends on the relative attractiveness of investments in a country. At present the relative growth prospects in the UK are near the head of the pack in the advanced economies, and with our forecasts and the IMF's forecasts - you could take an independent one - that's likely to continue. But also the UK is an attractive destination for foreign direct investment; it gets the lion's share - a disproportionate large share, I should say - of foreign direct investment for countries in the European Union. And so it underscores the importance of continuing to remain an attractive destination for investment. We have looked, the last point I'll make on this, Duncan, is that we have looked not as the MPC but as the FPC, we have looked at what could happen, what could be the implications of a sharper adjustment in the current account."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,51,answer,23,BoE_201502_transcript_23,17,21,5,"What if we no longer could rely on the kindness of strangers, if you will. And that was the motivation for the stress test we ran and the results were released in December. And it's a hypothetical scenario, but it is one that connects the dots from a tightening current account position to the implications for growth for in that case house prices, bank balance sheets. And the punch line on that wasn't a great scenario, it wouldn't have been a fun thing to live through; it was an extreme scenario and it was a stress scenario. But the punch line on that was that our determination was that the core of the system, the core of the banking system, was resilient to that form of shock and still would have been able to provide lending to the UK economy."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,54,answer,24,BoE_201502_transcript_24,0,6,7,"No, I would say the - you know we have our, from a monetary policy perspective, we have our forecast of housing activity; it is lower than it had been previously. From a broader perspective, broader Bank of England perspective, whether it's the PRA or the FPC, our focus has been to ensure that bank underwriting standards remain responsible. We're not looking to encourage a shift towards - you would say it's a surprise - we're not looking to encourage a shift towards irresponsibility or so-called reckless lending. That was the motivation of the steps that the FPC took in the spring of last year to limit the amount of high loan to income mortgages that could be written, and that remains the case. By taking those steps, and I'll end with this on monetary policy, by taking those steps, by reducing risks, financial stability risks that could arise from irresponsible lending in the housing market, risks that go back to the question about debt, Ben's question about debt. The FPC preserves room for the MPC to conduct monetary policy to provide the appropriate amount of stimulus in order to get inflation back to target. Because if the FPC weren't doing its job as the first line of defence, then the MPC would have to potentially take these considerations into account, which would be difficult at the current juncture."
BoE_201505_transcript,20150513,transcript,Mark Carney,governor,3,answer,0,BoE_201505_transcript_0,0,4,5,"Well, it depends on the path of fiscal policy, which depends on the decision of the government. As I said to the last question, we've incorporated the fiscal policy of the last government. The question is how the new government adjust policy and the extent to which those are adjustments within a broad fiscal envelope - in other words, different spending and tax priorities within a broad fiscal stance - or there is a shift in the actual fiscal stance. As the monetary authority, we will take fiscal policy as given. We'll adjust our forecast with fiscal policies that are tabled in the House, not a series of comments that are made in the course of an election campaign."
BoE_201505_transcript,20150513,transcript,Mark Carney,governor,5,answer,1,BoE_201505_transcript_1,0,5,6,"Well, Larry, there were - in all cases of all parties, but let's take the party that's forming the government - there were also spending commitments in their manifestos and in their comments. So the question is - which cuts are implemented, which spending commitments are put in place, any adjustments - any other adjustments to the overall fiscal stance? Instead of speculating on what might happen, one waits a relatively short period of time for the subsequent budget of the government, and adjusts accordingly. I think what we know, sitting here, is that the broad stance of fiscal policy is restrictive, as it has been for the last several years and is likely to continue for the next several years. And that has a broad-brush consequence for the stance of monetary policy in order for us to achieve the inflation target. But, I think you'll understand this, there's no point trying to assess in an incomplete manner what might happen in a relatively short period of time, when we will have all that information and can adjust our forecast accordingly."
