doc_id,date,doc_type,speaker,speaker_role,turn_idx,turn_type,text,sent_idx
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"Well, it looks like, from incoming data pertaining to the first quarter, that real GDP growth has declined somewhat below where it was for the last several quarters of last year.",0
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,And that's really why the Committee indicated that growth has moderated somewhat.,1
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,There has been a slight downgrading of estimates of growth for this year.,2
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"On the other hand, the strength of the dollar also, in part, reflects the strength of the U.S. economy.",6
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"The strength of the dollar is also one factor that, as I noted, is holding down import prices and, at least on a transitory basis at this point, pushing inflation down.",7
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"So, we are taking account of international developments, including prospects for growth in our trade partners, in making the forecast we have here.",8
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"Nevertheless, it is important to recognize that this is not a weak forecast.",9
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"Taking everything into account, we continue to project above-trend growth.",10
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,We continue to project improvement in the labor market by the end of 2015.,11
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"The central tendency of the participants is, they're looking for an unemployment rate that will be down to 5. to 5.2, which is consistent with their estimates of its longer-run normal value.",12
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"So, we do see considerable underlying strength in the U.S. economy.",13
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,2,answer,"And, in spite of what looks like a weaker first quarter, we are projecting good performance for the economy.",14
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"There is no single thing where I'd say, ""We must see such-and-such in order to achieve that level of confidence.""",1
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,We will be looking at a wide array of data.,2
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"Now, we've said that we also want to see continued improvement in the labor market.",3
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"And a stronger labor market with less labor market slack is one factor that would tend to, certainly for me, increase my confidence that as slack diminishes, that inflation will move up over time.",4
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"Other things I will be looking at-of course, the inflation data, but as we said, we expect inflation to remain quite low because of the depressing influence of energy price declines and the dollar.",5
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"But we will be looking at the inflation data carefully to see if we can interpret, for example, low levels of inflation-if we see that, which we expect, as reflecting those influences.",6
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"We may not see wage growth pick up, I wouldn't say either that that is a precondition to raising rates.",9
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"But if we did see wage growth pick up, that would be at least a symptom that inflation would likely move up over time.",10
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"Survey measures have been stable; I expect that to continue, but we will be watching it carefully.",12
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"If they were to move up over time, that would probably serve to increase my confidence.",15
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,"But there are a wide range of things that we will be looking at, including further improvement in the labor market.",16
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,4,answer,This is a judgment that the Committee will have to make.,18
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,6,answer,"So, it's always hard to know exactly why each participant has written down the forecast they have, but certainly there are changes in the assessments of the economy and forecasts for the economy that would point in the direction of downward adjustment in the funds rate path.",0
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,6,answer,"For one thing, you do see meaningful downward adjustment in the inflation forecast, certainly for this year.",1
FOMCpresconf20150318,20150318,presconf,CHAIR YELLEN,chair,6,answer,"In addition, importantly, a number of participants have marked down their estimates of the normal longer-run unemployment rate.",2
